intersection,camera,date,time,direction,car,motorbike,bus,truck
Jehangir Chowk,j3,2023-01-11,11:40:00,LEFT,38.0,51.0,5.0,16.0
Jehangir Chowk,j3,2023-01-11,11:40:00,RIGHT,6.0,9.0,2.0,8.0
Jehangir Chowk,j3,2023-01-11,11:40:00,UP,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:45:00,DOWN,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:45:00,LEFT,46.0,61.0,7.0,11.0
Jehangir Chowk,j3,2023-01-11,11:45:00,RIGHT,5.0,4.0,2.0,2.0
Jehangir Chowk,j3,2023-01-11,11:45:00,UP,4.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-11,11:50:00,DOWN,3.0,0.0,0.0,2.0
Jehangir Chowk,j3,2023-01-11,11:50:00,LEFT,42.0,56.0,11.0,13.0
Jehangir Chowk,j3,2023-01-11,11:50:00,RIGHT,8.0,3.0,6.0,2.0
Jehangir Chowk,j3,2023-01-11,11:50:00,UP,0.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,11:55:00,DOWN,1.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:55:00,LEFT,42.0,58.0,4.0,9.0
Jehangir Chowk,j3,2023-01-11,11:55:00,RIGHT,3.0,4.0,4.0,6.0
Jehangir Chowk,j3,2023-01-11,11:55:00,UP,6.0,0.0,1.0,3.0
Jehangir Chowk,j3,2023-01-11,12:00:00,DOWN,4.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,12:00:00,LEFT,24.0,30.0,3.0,8.0
Jehangir Chowk,j3,2023-01-11,12:00:00,RIGHT,4.0,5.0,0.0,7.0
Jehangir Chowk,j3,2023-01-11,12:00:00,UP,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,08:55:00,DOWN,0.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,08:55:00,LEFT,2.0,2.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,08:55:00,RIGHT,0.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,08:55:00,UP,0.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,09:00:00,DOWN,1.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-12,09:00:00,LEFT,54.0,73.0,11.0,5.0
Jehangir Chowk,j3,2023-01-12,09:00:00,RIGHT,10.0,2.0,7.0,1.0
Jehangir Chowk,j3,2023-01-12,09:00:00,UP,5.0,0.0,0.0,2.0
Jehangir Chowk,j3,2023-01-12,09:05:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,09:05:00,LEFT,34.0,72.0,4.0,6.0
Jehangir Chowk,j3,2023-01-12,09:05:00,RIGHT,3.0,5.0,3.0,3.0
Jehangir Chowk,j3,2023-01-12,09:05:00,UP,12.0,2.0,0.0,3.0
Jehangir Chowk,j3,2023-01-12,09:10:00,DOWN,1.0,0.0,0.0,2.0
Jehangir Chowk,j3,2023-01-12,09:10:00,LEFT,33.0,99.0,13.0,4.0
Jehangir Chowk,j3,2023-01-12,09:10:00,RIGHT,5.0,4.0,3.0,13.0
Jehangir Chowk,j3,2023-01-12,09:10:00,UP,4.0,2.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,09:15:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,09:15:00,LEFT,56.0,114.0,7.0,6.0
Jehangir Chowk,j3,2023-01-12,09:15:00,RIGHT,3.0,8.0,2.0,2.0
Jehangir Chowk,j3,2023-01-12,09:15:00,UP,8.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,09:20:00,DOWN,2.0,0.0,0.0,2.0
Jehangir Chowk,j3,2023-01-12,09:20:00,LEFT,41.0,95.0,8.0,8.0
Jehangir Chowk,j3,2023-01-12,09:20:00,RIGHT,6.0,6.0,2.0,4.0
Jehangir Chowk,j3,2023-01-12,09:20:00,UP,17.0,0.0,1.0,2.0
Jehangir Chowk,j3,2023-01-12,09:25:00,DOWN,2.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,09:25:00,LEFT,63.0,112.0,6.0,8.0
Jehangir Chowk,j3,2023-01-12,09:25:00,RIGHT,6.0,12.0,1.0,3.0
Jehangir Chowk,j3,2023-01-12,09:25:00,UP,5.0,0.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,09:30:00,DOWN,0.0,0.0,1.0,2.0
Jehangir Chowk,j3,2023-01-12,09:30:00,LEFT,46.0,111.0,6.0,11.0
Jehangir Chowk,j3,2023-01-12,09:30:00,RIGHT,4.0,5.0,4.0,1.0
Jehangir Chowk,j3,2023-01-12,09:30:00,UP,7.0,1.0,1.0,0.0
Jehangir Chowk,j3,2023-01-12,09:35:00,DOWN,2.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,09:35:00,LEFT,47.0,105.0,8.0,7.0
Jehangir Chowk,j3,2023-01-12,09:35:00,RIGHT,4.0,10.0,4.0,4.0
Jehangir Chowk,j3,2023-01-12,09:35:00,UP,15.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-12,09:40:00,DOWN,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,09:40:00,LEFT,47.0,95.0,6.0,5.0
Jehangir Chowk,j3,2023-01-12,09:40:00,RIGHT,8.0,5.0,2.0,5.0
Jehangir Chowk,j3,2023-01-12,09:40:00,UP,7.0,1.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,09:45:00,DOWN,2.0,0.0,0.0,2.0
Jehangir Chowk,j3,2023-01-12,09:45:00,LEFT,36.0,89.0,5.0,12.0
Jehangir Chowk,j3,2023-01-12,09:45:00,RIGHT,4.0,3.0,6.0,3.0
Jehangir Chowk,j3,2023-01-12,09:45:00,UP,9.0,3.0,2.0,2.0
Jehangir Chowk,j3,2023-01-12,09:50:00,DOWN,0.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,09:50:00,LEFT,43.0,95.0,1.0,9.0
Jehangir Chowk,j3,2023-01-12,09:50:00,RIGHT,8.0,11.0,0.0,5.0
Jehangir Chowk,j3,2023-01-12,09:50:00,UP,9.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-12,09:55:00,DOWN,2.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,09:55:00,LEFT,54.0,106.0,10.0,7.0
Jehangir Chowk,j3,2023-01-12,09:55:00,RIGHT,6.0,6.0,2.0,4.0
Jehangir Chowk,j3,2023-01-12,09:55:00,UP,5.0,1.0,0.0,3.0
Jehangir Chowk,j3,2023-01-12,10:00:00,DOWN,6.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:00:00,LEFT,49.0,105.0,7.0,7.0
Jehangir Chowk,j3,2023-01-12,10:00:00,RIGHT,6.0,8.0,7.0,6.0
Jehangir Chowk,j3,2023-01-12,10:00:00,UP,8.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:05:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:05:00,LEFT,33.0,99.0,11.0,6.0
Jehangir Chowk,j3,2023-01-12,10:05:00,RIGHT,5.0,5.0,2.0,5.0
Jehangir Chowk,j3,2023-01-12,10:05:00,UP,7.0,0.0,2.0,0.0
Jehangir Chowk,j3,2023-01-12,10:10:00,DOWN,1.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,10:10:00,LEFT,55.0,101.0,8.0,3.0
Jehangir Chowk,j3,2023-01-12,10:10:00,RIGHT,6.0,10.0,4.0,2.0
Jehangir Chowk,j3,2023-01-12,10:10:00,UP,10.0,0.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,10:15:00,DOWN,3.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,10:15:00,LEFT,50.0,73.0,4.0,10.0
Jehangir Chowk,j3,2023-01-12,10:15:00,RIGHT,3.0,9.0,1.0,4.0
Jehangir Chowk,j3,2023-01-12,10:15:00,UP,11.0,0.0,0.0,3.0
Jehangir Chowk,j3,2023-01-12,10:20:00,DOWN,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:20:00,LEFT,61.0,87.0,10.0,3.0
Jehangir Chowk,j3,2023-01-12,10:20:00,RIGHT,5.0,8.0,4.0,2.0
Jehangir Chowk,j3,2023-01-12,10:20:00,UP,7.0,1.0,1.0,0.0
Jehangir Chowk,j3,2023-01-12,10:25:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:25:00,LEFT,52.0,56.0,4.0,20.0
Jehangir Chowk,j3,2023-01-12,10:25:00,RIGHT,2.0,4.0,6.0,1.0
Jehangir Chowk,j3,2023-01-12,10:25:00,UP,7.0,0.0,0.0,2.0
Jehangir Chowk,j3,2023-01-12,10:30:00,DOWN,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:30:00,LEFT,52.0,99.0,10.0,4.0
Jehangir Chowk,j3,2023-01-12,10:30:00,RIGHT,5.0,4.0,5.0,2.0
Jehangir Chowk,j3,2023-01-12,10:30:00,UP,11.0,1.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,10:35:00,DOWN,3.0,1.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,10:35:00,LEFT,45.0,66.0,8.0,6.0
Jehangir Chowk,j3,2023-01-12,10:35:00,RIGHT,10.0,13.0,3.0,3.0
Jehangir Chowk,j3,2023-01-12,10:35:00,UP,12.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,10:40:00,DOWN,5.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:40:00,LEFT,50.0,84.0,10.0,7.0
Jehangir Chowk,j3,2023-01-12,10:40:00,RIGHT,7.0,4.0,2.0,3.0
Jehangir Chowk,j3,2023-01-12,10:40:00,UP,12.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:45:00,DOWN,5.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:45:00,LEFT,59.0,88.0,11.0,7.0
Jehangir Chowk,j3,2023-01-12,10:45:00,RIGHT,10.0,3.0,5.0,0.0
Jehangir Chowk,j3,2023-01-12,10:45:00,UP,15.0,0.0,2.0,0.0
Jehangir Chowk,j3,2023-01-12,10:50:00,DOWN,8.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:50:00,LEFT,51.0,86.0,8.0,5.0
Jehangir Chowk,j3,2023-01-12,10:50:00,RIGHT,8.0,2.0,3.0,2.0
Jehangir Chowk,j3,2023-01-12,10:50:00,UP,19.0,0.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,10:55:00,DOWN,7.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,10:55:00,LEFT,52.0,80.0,7.0,6.0
Jehangir Chowk,j3,2023-01-12,10:55:00,RIGHT,9.0,5.0,1.0,5.0
Jehangir Chowk,j3,2023-01-12,10:55:00,UP,26.0,1.0,1.0,0.0
Jehangir Chowk,j3,2023-01-12,11:00:00,DOWN,6.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:00:00,LEFT,40.0,69.0,6.0,9.0
Jehangir Chowk,j3,2023-01-12,11:00:00,RIGHT,7.0,3.0,1.0,4.0
Jehangir Chowk,j3,2023-01-12,11:00:00,UP,6.0,0.0,2.0,1.0
Jehangir Chowk,j3,2023-01-12,11:05:00,DOWN,7.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,11:05:00,LEFT,38.0,73.0,12.0,12.0
Jehangir Chowk,j3,2023-01-12,11:05:00,RIGHT,5.0,6.0,2.0,1.0
Jehangir Chowk,j3,2023-01-12,11:05:00,UP,5.0,2.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,11:10:00,DOWN,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:10:00,LEFT,54.0,54.0,6.0,6.0
Jehangir Chowk,j3,2023-01-12,11:10:00,RIGHT,6.0,4.0,2.0,2.0
Jehangir Chowk,j3,2023-01-12,11:10:00,UP,13.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:15:00,DOWN,5.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,11:15:00,LEFT,28.0,60.0,11.0,6.0
Jehangir Chowk,j3,2023-01-12,11:15:00,RIGHT,12.0,6.0,1.0,10.0
Jehangir Chowk,j3,2023-01-12,11:15:00,UP,4.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:20:00,DOWN,10.0,0.0,0.0,3.0
Jehangir Chowk,j3,2023-01-12,11:20:00,LEFT,50.0,68.0,5.0,7.0
Jehangir Chowk,j3,2023-01-12,11:20:00,RIGHT,11.0,95.0,3.0,3.0
Jehangir Chowk,j3,2023-01-12,11:20:00,UP,33.0,0.0,3.0,0.0
Jehangir Chowk,j3,2023-01-12,11:25:00,DOWN,5.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:25:00,LEFT,40.0,82.0,10.0,5.0
Jehangir Chowk,j3,2023-01-12,11:25:00,RIGHT,5.0,6.0,3.0,5.0
Jehangir Chowk,j3,2023-01-12,11:25:00,UP,9.0,0.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,11:30:00,DOWN,6.0,2.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:30:00,LEFT,25.0,47.0,6.0,8.0
Jehangir Chowk,j3,2023-01-12,11:30:00,RIGHT,14.0,11.0,2.0,4.0
Jehangir Chowk,j3,2023-01-12,11:30:00,UP,7.0,2.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,11:35:00,DOWN,4.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,11:35:00,LEFT,39.0,95.0,7.0,8.0
Jehangir Chowk,j3,2023-01-12,11:35:00,RIGHT,4.0,5.0,1.0,6.0
Jehangir Chowk,j3,2023-01-12,11:35:00,UP,7.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-12,11:40:00,DOWN,7.0,3.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:40:00,LEFT,43.0,86.0,8.0,8.0
Jehangir Chowk,j3,2023-01-12,11:40:00,RIGHT,12.0,15.0,2.0,7.0
Jehangir Chowk,j3,2023-01-12,11:40:00,UP,20.0,1.0,1.0,1.0
Jehangir Chowk,j3,2023-01-12,11:45:00,DOWN,7.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:45:00,LEFT,53.0,114.0,4.0,13.0
Jehangir Chowk,j3,2023-01-12,11:45:00,RIGHT,4.0,4.0,5.0,2.0
Jehangir Chowk,j3,2023-01-12,11:45:00,UP,13.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:50:00,DOWN,8.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:50:00,LEFT,45.0,89.0,13.0,9.0
Jehangir Chowk,j3,2023-01-12,11:50:00,RIGHT,7.0,9.0,6.0,2.0
Jehangir Chowk,j3,2023-01-12,11:50:00,UP,10.0,0.0,5.0,1.0
Jehangir Chowk,j3,2023-01-12,11:55:00,DOWN,2.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-12,11:55:00,LEFT,44.0,90.0,1.0,9.0
Jehangir Chowk,j3,2023-01-12,11:55:00,RIGHT,3.0,6.0,0.0,1.0
Jehangir Chowk,j3,2023-01-12,11:55:00,UP,7.0,1.0,0.0,2.0
Jehangir Chowk,j3,2023-01-12,12:00:00,DOWN,0.0,0.0,0.0,0.0
